26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Tech-support, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, Person, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Transport-moving, *, Person, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Not Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Priv-house-serv, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Farming-fishing, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Tech-support, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Protective-serv, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  ?, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  ?, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Tech-support, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  ?, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Protective-serv, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Priv-house-serv, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  ?, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Transport-moving, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Protective-serv, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Not Married,  Farming-fishing, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Other-service, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Priv-house-serv, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Farming-fishing, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Tech-support, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  ?, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Farming-fishing, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Transport-moving, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Other-service, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Handlers-cleaners, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Tech-support, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Protective-serv, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  ?, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, Person, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Farming-fishing, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Exec-managerial, *, Person, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Priv-house-serv, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Sales, *, Person, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, Person, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, Person, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Tech-support, *, Person, *, *, *, *, *, *
